business_acctnum,dba_name,ownership_type,address,city,state,zip,naics,activity_desc,industry_group,definition,full_address,matched_address,geocode_score,longitude,latitude
2021003855,098 ENTERPRISES,CORP,3412 LITTLE FLOWER ST ,SAN DIEGO,CA,92104-5225,422,"WHOLESALE TRADE, NONDURABLE GOODS",Wholesale Trade,Core,"3412 LITTLE FLOWER ST , SAN DIEGO, CA 92104-5225","2038 Corte del Nogal, Suite 134, Carlsbad, California, 92011",100.0,-117.279002413749,33.118762156516
1998011168,1 SPIRIT,CORP,3830 VALLEY CENTRE DR 705-903 ,SAN DIEGO,CA,92130-3320,42282,WINE & DISTILLED ALCOHOLIC BEVERAGE WHSLE,Wholesale Trade,Core,"3830 VALLEY CENTRE DR 705-903 , SAN DIEGO, CA 92130-3320","10792 Roselle St, San Diego, California, 92121",100.0,-117.222966541174,32.899788288819
2003009618,1-800-GOTJUNK OF SAN DIEGO,LLC,2038 CORTE DEL NOGAL 134 ,CARLSBAD,CA,92011-1478,488999,ALL OTHER TRANSPORTATION SUPPORT ACTIVITIES,Transportation and Warehousing,Core,"2038 CORTE DEL NOGAL 134 , CARLSBAD, CA 92011-1478","3412 Little Flower St, San Diego, California, 92104",100.0,-117.119854212329,32.736866931774
2012005140,100% SPEEDLAB LLC,LLC,10792 ROSELLE ST ,SAN DIEGO,CA,92121-1508,42231,"PIECE GOODS, NOTIONS & OTHER DRY GOODS WHSLE",Wholesale Trade,Core,"10792 ROSELLE ST , SAN DIEGO, CA 92121-1508","3518 Barnett Ave, San Diego, California, 92110",100.0,-117.198322907648,32.745301934306
2018011496,102 SCONE CO.,SOLE,4130 LA JOLLA VILLAGE DR 102 ,LA JOLLA,CA,92037-1480,311811,RETAIL BAKERIES,Manufacturing,Core,"4130 LA JOLLA VILLAGE DR 102 , LA JOLLA, CA 92037-1480","3830 Valley Centre Dr, Suite 705, San Diego, California, 92130",100.0,-117.23064377775,32.937931941328
1993003503,1127 OPAL INC,CORP,3518 BARNETT AVE ,SAN DIEGO,CA,92110-3208,421,"WHOLESALE TRADE, DURABLE GOODS",Wholesale Trade,Core,"3518 BARNETT AVE , SAN DIEGO, CA 92110-3208","4019 Van Dyke Ave, San Diego, California, 92105",100.0,-117.103198700167,32.750117044314
2023009107,1ST COAST CARGO INC,SCORP,7715 PASEO DE LA FUENTE NORTH 100 ,SAN DIEGO,CA,92154-5733,4885,FREIGHT TRANSPORTATION ARRANGEMENT,Transportation and Warehousing,Core,"7715 PASEO DE LA FUENTE NORTH 100 , SAN DIEGO, CA 92154-5733","8898 Trailridge Ave, Santee, California, 92071",100.0,-117.011456674436,32.858254449842
2017006082,24 7 LOCKOUT ROADSIDE ASSISTANCE,SOLE,4019 VAN DYKE AVE ,SAN DIEGO,CA,92105-1514,4884,ROAD TRANSPORTATION SUPPORT ACTIVITIES,Transportation and Warehousing,Core,"4019 VAN DYKE AVE , SAN DIEGO, CA 92105-1514","4130 La Jolla Village Dr, La Jolla, California, 92037",99.27,-117.21765333657,32.871867205422
2012031177,24-7 MOVING & STORAGE INC,CORP,8898 TRAILRIDGE AVE ,SANTEE,CA,92071-2052,48421,USED HOUSEHOLD & OFFICE GOODS MOVING,Transportation and Warehousing,Core,"8898 TRAILRIDGE AVE , SANTEE, CA 92071-2052","7590 Britannia Ct, Suite B, San Diego, California, 92154",100.0,-116.977439139493,32.548779580998
2022000631,26 LOGISTICS,LLC,7590 BRITANNIA CT B ,SAN DIEGO,CA,92154-7400,315,APPAREL MANUFACTURING,Manufacturing,Core,"7590 BRITANNIA CT B , SAN DIEGO, CA 92154-7400","524 W Calle Primera, Suite 1007, San Ysidro, California, 92173",100.0,-117.054665552943,32.554807426666
